ⲛⲁⲓ	ⲛⲁⲓ	ⲛⲁ|ⲓ
ⲛϩⲣⲏⲓ	ⲛϩⲣⲏⲓ	ⲛ|ϩⲣⲏⲓ
ⲙⲙⲟⲛ	ⲙⲙⲟⲛ	ⲙⲙⲟ|ⲛ
ⲉϯϣⲉⲩⲛⲓ	ⲉ|ϯ|ϣⲉⲩⲛⲓ	ⲉ|ϯϣⲉⲩⲛⲓ
ⲛϩⲏⲧ	ⲛ|ϩⲏⲧ	ⲛϩⲏⲧ
ⲛⲉⲁϥⲑⲱⲛ	ⲛⲉ|ⲁ|ϥ|ⲑⲱⲛ	ⲛ|ⲉⲁ|ϥ|ⲑⲱⲛ
ϧⲉⲛⲡⲉϩⲟⲟⲩ	ϧⲉⲛ|ⲡ|ⲉϩⲟⲟⲩ	ϧⲉⲛ|ⲡⲉ|ϩⲟⲟⲩ
ⲛⲉ	ⲛⲉ	ⲛ|ⲉ
ϯⲛⲟⲩ	ϯⲛⲟⲩ	ϯ|ⲛⲟⲩ
ⲛⲕⲟⲧ	ⲛ|ⲕⲟⲧ	ⲛⲕⲟⲧ
ⲙⲙⲱⲟⲩ	ⲙⲙⲱ|ⲟⲩ	ⲙ|ⲙⲱⲟⲩ
ⲙⲫⲟⲟⲩ	ⲙ|ⲫ|ⲟⲟⲩ	ⲙ|ⲫⲟⲟⲩ
ⲉⲣⲙⲉⲑⲣⲉ	ⲉⲣ|ⲙⲉⲑⲣⲉ	ⲉⲣⲙⲉⲑⲣⲉ
ⲉⲧⲁⲥⲛⲁⲩ	ⲉⲧ|ⲁ|ⲥ|ⲛⲁⲩ	ⲉ|ⲧⲁ|ⲥⲛⲁⲩ
ⲉϩⲣⲁⲩ	ⲉϩⲣⲁ|ⲩ	ⲉ|ϩⲣⲁ|ⲩ
ⲉⲙⲁϣⲱ	ⲉⲙⲁϣⲱ	ⲉ|ⲙⲁϣⲱ
ϣⲁⲫⲟⲟⲩ	ϣⲁ|ⲫ|ⲟⲟⲩ	ϣⲁ|ⲫⲟⲟⲩ
ⲉⲧⲉⲛϧⲏⲧϥ	ⲉⲧⲉ|ⲛϧⲏⲧ|ϥ	ⲉⲧⲉ|ⲛ|ϧⲏⲧ|ϥ
ⲛⲱⲟⲩ	ⲛⲱ|ⲟⲩ	ⲛ|ⲱⲟⲩ
ⲉⲡⲧⲏⲣϥ	ⲉ|ⲡ|ⲧⲏⲣϥ	ⲉ|ⲡ|ⲧⲏⲣ|ϥ
ⲙⲡⲉⲙⲑⲟ	ⲙ|ⲡⲉ|ⲙⲑⲟ	ⲙ|ⲡ|ⲉⲙⲑⲟ
ⲁϥⲉⲣⲙⲕⲁϩ	ⲁ|ϥ|ⲉⲣ|ⲙⲕⲁϩ	ⲁ|ϥ|ⲉⲣⲙⲕⲁϩ
