.	.
...	...
_warn:empty_norm_	_warn:empty_norm_
oⲩ	oⲩ
ϣ	ϣ
ϣϣⲏⲛ	ϣϣⲏⲛ
ϣϣⲟⲧ	ϣϣⲟⲧ
ϣϫⲉ	ϣϫⲉ
ϣϫⲉⲙϫⲟⲙ	ϣ|ϫⲉⲙϫⲟⲙ
ϣϫⲟⲙ	ϣ|ϫⲟⲙ
ϣϭⲛⲏⲛ	ϣϭⲛⲏⲛ
ϣⲁ	ϣⲁ
ϣⲁϣ	ϣⲁϣ
ϣⲁϣⲓ	ϣⲁϣⲓ
ϣⲁϥⲉ	ϣⲁϥⲉ
ϣⲁϫⲓ	ϣⲁϫⲓ
ϣⲁϯ	ϣⲁϯ
ϣⲁⲉϧⲟⲩⲛ	ϣⲁⲉϧⲟⲩⲛ
ϣⲁⲉⲛⲉϩ	ϣⲁ|ⲉⲛⲉϩ
ϣⲁⲓ	ϣⲁⲓ
ϣⲁⲙϣⲉ	ϣⲁⲙϣⲉ
ϣⲁⲛ	ϣⲁⲛ
ϣⲁⲛⲧⲉ	ϣⲁⲛⲧⲉ
ϣⲁⲣ	ϣⲁⲣ
ϣⲁⲣⲉ	ϣⲁⲣⲉ
ϣⲁⲣⲓ	ϣⲁⲣⲓ
ϣⲁⲣⲟ	ϣⲁⲣⲟ
ϣⲁⲧ	ϣⲁⲧ
ϣⲁⲧⲉ	ϣⲁⲧⲉ
ϣⲁⲧⲉⲛ	ϣⲁⲧⲉⲛ
ϣⲃⲱⲧ	ϣⲃⲱⲧ
ϣⲉ	ϣⲉ
ϣⲉⲃⲓⲱ	ϣⲉⲃⲓⲱ
ϣⲉⲗⲧⲁⲙ	ϣⲉⲗⲧⲁⲙ
ϣⲉⲙϣⲏⲧ	ϣⲉⲙϣⲏⲧ
ϣⲉⲙϣⲓ	ϣⲉⲙϣⲓ
ϣⲉⲙⲏⲣ	ϣⲉⲙⲏⲣ
ϣⲉⲙⲙⲟ	ϣⲉⲙⲙⲟ
ϣⲉⲛ	ϣⲉⲛ
ϣⲉⲛϩⲏⲧ	ϣⲉⲛ|ϩⲏⲧ
ϣⲉⲛⲧⲱ	ϣⲉⲛⲧⲱ
ϣⲉⲡ	ϣⲉⲡ
ϣⲉⲡϧⲓⲥⲓ	ϣⲉⲡ|ϧⲓⲥⲓ
ϣⲉⲡϩⲙⲟⲧ	ϣⲉⲡ|ϩⲙⲟⲧ
ϣⲉⲣ	ϣⲉⲣ
ϣⲉⲣⲓ	ϣⲉⲣⲓ
ϣⲉⲩⲛⲓ	ϣⲉⲩⲛⲓ
ϣⲏϣ	ϣⲏϣ
ϣⲏⲕ	ϣⲏⲕ
ϣⲏⲗ	ϣⲏⲗ
ϣⲏⲟⲩ	ϣⲏⲟⲩ
ϣⲏⲡ	ϣⲏⲡ
ϣⲏⲣⲓ	ϣⲏⲣⲓ
ϣⲑⲉⲣⲑⲱⲣ	ϣⲑⲉⲣⲑⲱⲣ
ϣⲑⲏⲛ	ϣⲑⲏⲛ
ϣⲑⲟⲣⲧⲉⲣ	ϣⲑⲟⲣⲧⲉⲣ
ϣⲓ	ϣⲓ
ϣⲓⲃϯ	ϣⲓⲃϯ
