.	.
...	...
ϣ	ϣ
ϣϣⲏⲛ	ϣϣⲏⲛ
ϣϣⲟⲧ	ϣϣⲟⲧ
ϣϧⲉⲧϧⲱⲧϥ	ϣϧⲉⲧϧⲱⲧϥ
ϣϫⲉ	ϣϫⲉ
ϣϫⲉⲙϫⲟⲙ	ϣϫⲉⲙϫⲟⲙ
ϣϫⲟⲙ	ϣϫⲟⲙ
ϣϭⲛⲏⲛ	ϣϭⲛⲏⲛ
ϣⲁ	ϣⲁ
ϣⲁϥϣⲓⲏ	ϣⲁϥϣⲓⲏ
ϣⲁϥϣⲱⲟⲩⲓ	ϣⲁϥϣⲱⲟⲩⲓ
ϣⲁϥϧⲉⲧϧⲉⲧ	ϣⲁϥϧⲉⲧϧⲉⲧ
ϣⲁϥϩⲓⲧϥ	ϣⲁϥϩⲓⲧϥ
ϣⲁϥⲉ	ϣⲁϥⲉ
ϣⲁϥⲉⲛϥ	ϣⲁϥⲉⲛϥ
ϣⲁϥⲉⲣⲁⲧⲟⲩⲧⲁϩ	ϣⲁϥⲉⲣⲁⲧⲟⲩⲧⲁϩ
ϣⲁϥⲑⲣⲉⲡⲓⲟⲩⲱϣⲉⲙ	ϣⲁϥⲑⲣⲉⲡⲓⲟⲩⲱϣⲉⲙ
ϣⲁϥⲓ	ϣⲁϥⲓ
ϣⲁϥⲙⲟϩ	ϣⲁϥⲙⲟϩ
ϣⲁϥⲟⲩⲱⲣⲡ	ϣⲁϥⲟⲩⲱⲣⲡ
ϣⲁϥⲧⲱⲛϥ	ϣⲁϥⲧⲱⲛϥ
ϣⲁⲉϧⲟⲩⲛ	ϣⲁⲉϧⲟⲩⲛ
ϣⲁⲉⲛⲉϩ	ϣⲁⲉⲛⲉϩ
ϣⲁⲑⲛⲁⲩ	ϣⲁⲧⲛⲁⲩ
ϣⲁⲓ	ϣⲁⲓ
ϣⲁⲛ	ϣⲁⲛ
ϣⲁⲣ	ϣⲁⲣ
ϣⲁⲣⲉ	ϣⲁⲣⲉ
ϣⲁⲣⲉⲡⲓϫⲣⲟϫ	ϣⲁⲣⲉⲡⲓϫⲣⲟϫ
ϣⲁⲣⲉⲡⲓⲃⲉⲣⲓ	ϣⲁⲣⲉⲡⲓⲃⲉⲣⲓ
ϣⲁⲣⲉⲡⲓⲏⲣⲡ	ϣⲁⲣⲉⲡⲓⲏⲣⲡ
ϣⲁⲣⲉⲡⲓⲕⲁϩⲓ	ϣⲁⲣⲉⲡⲓⲕⲁϩⲓ
ϣⲁⲣⲉⲡⲧⲏⲣϥ	ϣⲁⲣⲉⲡⲧⲏⲣϥ
ϣⲁⲥϣⲱⲡⲓ	ϣⲁⲥϣⲱⲡⲓ
ϣⲁⲥⲓ	ϣⲁⲥⲓ
ϣⲁⲥⲓⲣⲓ	ϣⲁⲥⲓⲣⲓ
ϣⲁⲧ	ϣⲁⲧ
ϣⲁⲧⲉ	ϣⲁⲧⲉ
ϣⲁⲧⲉϥⲓ	ϣⲁⲧⲉϥⲓ
ϣⲁⲧⲉϥⲭⲁⲡⲓⲙⲏϣ	ϣⲁⲧⲉϥⲭⲁⲡⲓⲙⲏϣ
