ϯⲡⲣⲟⲥⲉⲩⲭⲏ	ϯ|ⲡⲣⲟⲥⲉⲩⲭⲏ
ⲛⲧⲉⲁⲃⲃⲁⲕⲟⲩⲙ	ⲛⲧⲉ|ⲁⲃⲃⲁⲕⲟⲩⲙ
ⲡⲓⲡⲣⲟⲫⲏⲧⲏⲥ	ⲡⲓ|ⲡⲣⲟⲫⲏⲧⲏⲥ
ⲛⲉⲙⲟⲩϩⲱⲇⲏ	ⲛⲉⲙ|ⲟⲩ|ϩⲱⲇⲏ
.	.
ⲡϭⲟⲉⲓⲥ	ⲡ|ϭⲟⲉⲓⲥ
ⲁⲓⲥⲱⲧⲉⲙ	ⲁ|ⲓ|ⲥⲱⲧⲉⲙ
ⲉⲡⲉⲕϧⲣⲱⲟⲩ	ⲉ|ⲡⲉⲕ|ϧⲣⲱⲟⲩ
ⲟⲩⲟϩ	ⲟⲩⲟϩ
ⲁⲓⲉⲣϩⲟϯ	ⲁ|ⲓ|ⲉⲣϩⲟϯ
ⲁⲓϯ	ⲁ|ⲓ|ϯ
ⲛⲓⲁⲧ	ⲛ|ⲓⲁⲧ
ⲛⲛⲉⲕϩⲃⲏⲟⲩⲓ	ⲛ|ⲛⲉⲕ|ϩⲃⲏⲟⲩⲓ
ⲁⲓⲧⲱⲙⲧ	ⲁ|ⲓ|ⲧⲱⲙⲧ
ⲉⲩⲉⲉⲙⲓ	ⲉⲩⲉ|ⲉⲙⲓ
ⲉⲣⲟⲕ	ⲉⲣⲟ|ⲕ
ϧⲉⲛⲑⲙⲏϯ	ϧⲉⲛ|ⲑ|ⲙⲏϯ
ⲛⲍⲱⲟⲛ	ⲛ|ⲍⲱⲟⲛ
ⲃ	ⲃ
ϧⲉⲛⲡϫⲓⲛⲑⲣⲟⲩϧⲱⲛⲧ	ϧⲉⲛ|ⲡ|ϫⲓⲛⲑⲣⲟⲩϧⲱⲛⲧ
ⲉϧⲟⲩⲛ	ⲉϧⲟⲩⲛ
ⲛϫⲉⲛⲓⲣⲟⲙⲡⲓ	ⲛϫⲉ|ⲛⲓ|ⲣⲟⲙⲡⲓ
ⲉⲩⲉⲥⲟⲩⲱⲛⲕ	ⲉⲩⲉ|ⲥⲟⲩⲱⲛ|ⲕ
ϧⲉⲛⲡϫⲓⲛⲑⲣⲉϥⲓ	ϧⲉⲛ|ⲡ|ϫⲓⲛⲑⲣⲉϥⲓ
ⲛϫⲉⲡⲓⲥⲏⲟⲩ	ⲛϫⲉ|ⲡⲓ|ⲥⲏⲟⲩ
ⲉⲕⲉϭⲱⲣⲡ	ⲉⲕⲉ|ϭⲱⲣⲡ
ⲉⲃⲟⲗ	ⲉⲃⲟⲗ
ϧⲉⲛⲡϫⲓⲛⲑⲣⲉⲥϣⲑⲟⲣⲧⲉⲣ	ϧⲉⲛ|ⲡ|ϫⲓⲛⲑⲣⲉⲥϣⲑⲟⲣⲧⲉⲣ
ⲛϫⲉⲧⲁⲯⲩⲭⲏ	ⲛϫⲉ|ⲧⲁ|ⲯⲩⲭⲏ
ϧⲉⲛⲟⲩⲙⲃⲟⲛ	ϧⲉⲛ|ⲟⲩ|ⲙⲃⲟⲛ
ⲭⲛⲁⲉⲣⲫⲙⲉⲩⲓ	ⲭ|ⲛⲁ|ⲉⲣ|ⲫ|ⲙⲉⲩⲓ
ⲙⲫⲛⲁⲓ	ⲙ|ⲫ|ⲛⲁⲓ
ϥⲛⲏⲟⲩ	ϥ|ⲛⲏⲟⲩ
ⲛϫⲉⲫⲛⲟⲩϯ	ⲛϫⲉ|ⲫ|ⲛⲟⲩϯ
ϧⲉⲛⲑⲱⲉⲙⲁⲛ	ϧⲉⲛ|ⲑⲱⲉⲙⲁⲛ
ⲡⲉⲑⲟⲩⲁⲃ	ⲡ|ⲉⲑ|ⲟⲩⲁⲃ
ϧⲉⲛⲡⲧⲱⲟⲩ	ϧⲉⲛ|ⲡ|ⲧⲱⲟⲩ
ⲙⲫⲁⲣⲣⲁⲛ	ⲙ|ⲫⲁⲣⲣⲁⲛ
ⲉϥⲟⲓ	ⲉ|ϥ|ⲟⲓ
ⲛϧⲏⲓⲃⲓ	ⲛ|ϧⲏⲓⲃⲓ
ⲉϥⲟϣ	ⲉ|ϥ|ⲟϣ
ⲛϣϣⲏⲛ	ⲛ|ϣϣⲏⲛ
ⲇⲓⲁⲯⲁⲗⲙⲁ	ⲇⲓⲁⲯⲁⲗⲙⲁ
ⲁⲥϩⲱⲃⲥ	ⲁ|ⲥ|ϩⲱⲃⲥ
ⲛⲧⲫⲉ	ⲛ|ⲧ|ⲫⲉ
ⲛϫⲉⲧⲉϥⲁⲣⲉⲧⲏ	ⲛϫⲉ|ⲧⲉϥ|ⲁⲣⲉⲧⲏ
ϥⲙⲉϩ	ϥ|ⲙⲉϩ
ⲛϫⲉⲡⲕⲁϩⲓ	ⲛϫⲉ|ⲡ|ⲕⲁϩⲓ
ϧⲉⲛⲥⲙⲟⲩ	ϧⲉⲛ|ⲥⲙⲟⲩ
ⲡⲉϥⲙⲟⲩⲉ	ⲡⲉϥ|ⲙⲟⲩⲉ
ⲉϥⲉⲉⲣ	ⲉϥⲉ|ⲉⲣ
ⲙⲫⲣⲏϯ	ⲙ|ⲫ|ⲣⲏϯ
ⲙⲡⲓⲟⲩⲱⲓⲛⲓ	ⲙ|ⲡⲓ|ⲟⲩⲱⲓⲛⲓ
ϩⲁⲛⲧⲁⲡ	ϩⲁⲛ|ⲧⲁⲡ
ⲥⲉ	ⲥⲉ
ⲛϩⲣⲏⲓ	ⲛϩⲣⲏⲓ
ϧⲉⲛⲛⲉϥϫⲓϫ	ϧⲉⲛ|ⲛⲉϥ|ϫⲓϫ
ⲁϥⲭⲱ	ⲁ|ϥ|ⲭⲱ
ⲛϯⲁⲅⲁⲁⲡⲏ	ⲛ|ϯ|ⲁⲅⲁⲁⲡⲏ
ⲛⲧⲉⲧⲉϥϫⲟⲙ	ⲛⲧⲉ|ⲧⲉϥ|ϫⲟⲙ
ⲉⲥⲧⲁϫⲣⲏⲟⲩⲧ	ⲉ|ⲥ|ⲧⲁϫⲣⲏⲟⲩⲧ
ⲉϥⲉⲙⲟϣⲓ	ⲉϥⲉ|ⲙⲟϣⲓ
ϧⲁϫⲱϥ	ϧⲁϫⲱ|ϥ
ⲛϫⲉⲟⲩⲥⲁϫⲓ	ⲛϫⲉ|ⲟⲩ|ⲥⲁϫⲓ
ⲉⲩⲉⲓ	ⲉⲩⲉ|ⲓ
ⲛϫⲉⲛⲉϥϭⲁⲗⲁⲩϫ	ⲛϫⲉ|ⲛⲉϥ|ϭⲁⲗⲁⲩϫ
ⲉϩⲁⲛⲙⲉϣϣⲟϯ	ⲉ|ϩⲁⲛ|ⲙⲉϣϣⲟϯ
ⲁϥⲟϩⲓ	ⲁ|ϥ|ⲟϩⲓ
ⲉⲣⲁⲧϥ	ⲉⲣⲁⲧ|ϥ
ⲁϥⲕⲓⲙ	ⲁ|ϥ|ⲕⲓⲙ
ⲁϥϫⲟⲩϣⲧ	ⲁ|ϥ|ϫⲟⲩϣⲧ
ⲁⲩⲃⲱⲗ	ⲁ|ⲩ|ⲃⲱⲗ
ⲛϫⲉϩⲁⲛⲉⲑⲛⲟⲥ	ⲛϫⲉ|ϩⲁⲛ|ⲉⲑⲛⲟⲥ
ⲁⲩϧⲟⲙϧⲉⲙ	ⲁ|ⲩ|ϧⲟⲙϧⲉⲙ
ⲛϫⲟⲛⲥ	ⲛ|ϫⲟⲛⲥ
