ⲙⲡⲉⲕⲥⲱⲧⲙ	ⲙⲡⲉ|ⲕ|ⲥⲱⲧⲙ	ⲙ|ⲡⲉⲕ|ⲥⲱⲧⲙ
ⲙⲙⲟⲛ	ⲙⲙⲟ|ⲛ	ⲙⲙⲟⲛ
ⲉⲧⲃⲏⲏⲧ	ⲉⲧⲃⲏⲏⲧ	ⲉⲧⲃⲏⲏ|ⲧ
ⲛⲧⲉϯⲉⲟⲟⲩ	ⲛ|ⲧⲉ|ϯⲉⲟⲟⲩ	ⲛⲧⲉ|ϯ|ⲉⲟⲟⲩ
ⲛϩⲏⲧ	ⲛ|ϩⲏⲧ	ⲛϩⲏⲧ
ⲛⲉ	ⲛⲉ	ⲛ|ⲉ
ⲉⲧⲱ	ⲉ|ⲧⲱ	ⲉⲧⲱ
ⲛⲁⲓ	ⲛⲁ|ⲓ	ⲛⲁⲓ
ⲛϩⲏⲧϥ	ⲛϩⲏⲧ|ϥ	ⲛ|ϩⲏⲧ|ϥ
ⲛⲉⲛⲧⲁⲓϫⲟⲟⲩ	ⲛ|ⲉⲛⲧ|ⲁ|ⲓ|ϫⲟⲟⲩ	ⲛ|ⲉⲛⲧ|ⲁ|ⲓ|ϫⲟⲟ|ⲩ
ⲛⲁⲩ	ⲛⲁ|ⲩ	ⲛⲁⲩ
ⲉⲣⲱⲧⲛ	ⲉⲣⲱ|ⲧⲛ	ⲉⲣⲱⲧ|ⲛ
ⲛϩⲟⲩⲛ	ⲛϩⲟⲩⲛ	ⲛ|ϩⲟⲩⲛ
ϣⲁϩⲟⲩⲛ	ϣⲁ|ϩⲟⲩⲛ	ϣⲁϩⲟⲩⲛ
ⲉⲡⲉⲕⲉⲣⲁⲥⲙⲟⲥ	ⲉ|ⲡⲉⲕ|ⲉⲣⲁⲥⲙⲟⲥ	ⲉ|ⲡ|ⲉⲕⲉⲣⲁⲥⲙⲟⲥ
ϩⲓϩⲏ	ϩⲓϩⲏ	ϩⲓ|ϩⲏ
ⲛⲧⲉⲧⲛ	ⲛⲧⲉⲧⲛ	ⲛ|ⲧⲉⲧⲛ
ⲙⲡⲧⲏⲣϥ	ⲙ|ⲡ|ⲧⲏⲣϥ	ⲙ|ⲡ|ⲧⲏⲣ|ϥ
ⲙⲡϣⲁ	ⲙⲡϣⲁ	ⲙ|ⲡ|ϣⲁ
ⲛⲥⲁⲃⲟⲗ	ⲛⲥⲁ|ⲃⲟⲗ	ⲛⲥⲁⲃⲟⲗ
ⲉⲧⲉϣϣⲉ	ⲉⲧ|ⲉϣϣⲉ	ⲉⲧⲉ|ϣϣⲉ
ⲙⲉ	ⲙⲉ	ⲙ|ⲉ
ⲁⲣⲓϩⲟⲧⲉ	ⲁⲣⲓ|ϩⲟⲧⲉ	ⲁⲣⲓϩⲟⲧⲉ
ⲛⲧⲟ	ⲛⲧⲟ	ⲛ|ⲧⲟ
ⲛⲧⲁⲛⲁⲓ	ⲛⲧⲁ|ⲛⲁⲓ	ⲛ|ⲧ|ⲁⲛⲁⲓ	ⲛⲧ|ⲁ|ⲛⲁⲓ
ⲛⲥⲁϥ	ⲛ|ⲥⲁϥ	ⲛⲥⲁ|ϥ
ⲛⲑⲁⲗⲁⲥⲥⲁ	ⲛ|ⲑⲁⲗⲁⲥⲥⲁ	ⲛⲑⲁⲗⲁⲥⲥⲁ
ⲉⲩⲟ	ⲉ|ⲩ|ⲟ	ⲉⲩ|ⲟ
ⲉⲩⲉⲓ	ⲉ|ⲩ|ⲉⲓ	ⲉ|ⲩⲉⲓ
ⲉϫⲱ	ⲉ|ϫⲱ	ⲉϫⲱ
ⲉⲧⲙⲉ	ⲉⲧ|ⲙⲉ	ⲉ|ⲧ|ⲙⲉ
ⲛⲧⲟⲟⲧⲟⲩ	ⲛⲧⲟⲟⲧ|ⲟⲩ	ⲛ|ⲧⲟⲟⲧ|ⲟⲩ
ⲛⲁⲕ	ⲛⲁ|ⲕ	ⲛⲁⲕ
ⲛϩⲟⲩⲟ	ⲛ|ϩⲟⲩⲟ	ⲛϩⲟⲩⲟ
ⲉⲡⲉⲥⲏⲧ	ⲉ|ⲡ|ⲉⲥⲏⲧ	ⲉ|ⲡⲉⲥⲏⲧ	ⲉⲡⲉⲥⲏⲧ	ⲉ|ⲡⲉ|ⲥⲏⲧ
ϫⲉϩⲛⲧⲉⲩⲛⲟⲩ	ϫⲉ|ϩⲛ|ⲧ|ⲉⲩⲛⲟⲩ	ϫⲉ|ϩⲛ|ⲧⲉ|ⲩⲛⲟⲩ
ⲛⲧϭⲟⲙ	ⲛ|ⲧ|ϭⲟⲙ	ⲛ|ⲧϭⲟⲙ
ⲛⲕⲉⲥⲟⲡ	ⲛ|ⲕⲉ|ⲥⲟⲡ	ⲛ|ⲕⲉⲥⲟⲡ
ⲉⲩϣⲟⲟⲡ	ⲉ|ⲩ|ϣⲟⲟⲡ	ⲉ|ⲩϣⲟⲟⲡ
ⲉⲙⲙⲟⲛ	ⲉⲙⲙⲟⲛ	ⲉ|ⲙⲙⲟⲛ	ⲉⲙⲙⲟ|ⲛ
ⲛⲧⲉⲛⲁⲣⲭⲱⲛ	ⲛⲧⲉ|ⲛ|ⲁⲣⲭⲱⲛ	ⲛ|ⲧⲉⲛ|ⲁⲣⲭⲱⲛ
ⲛⲧⲛⲃⲱⲕ	ⲛ|ⲧⲛ|ⲃⲱⲕ	ⲛ|ⲧⲛⲃⲱⲕ
ϣⲁⲥⲃⲱⲕ	ϣⲁ|ⲥ|ⲃⲱⲕ	ϣⲁ|ⲥⲃⲱⲕ
ϫⲉⲉⲧⲉⲧⲛϣⲁⲛⲃⲱⲕ	ϫⲉ|ⲉⲧⲉⲧⲛϣⲁⲛ|ⲃⲱⲕ	ϫⲉ|ⲉⲧⲉⲧⲛϣⲁⲛⲃⲱⲕ
ⲛϥⲃⲱⲕ	ⲛ|ϥ|ⲃⲱⲕ	ⲛ|ϥⲃⲱⲕ
ⲙⲡⲧⲟⲩⲛⲉⲥⲣⲉϥⲙⲟⲟⲩⲧ	ⲙ|ⲡⲧⲟⲩⲛⲉⲥ|ⲣⲉϥⲙⲟⲟⲩⲧ	ⲙ|ⲡ|ⲧⲟⲩⲛⲉⲥⲣⲉϥⲙⲟⲟⲩⲧ
ⲛⲕⲁ	ⲛⲕⲁ	ⲛ|ⲕⲁ
ⲧⲁϩⲉ	ⲧⲁϩⲉ	ⲧⲁ|ϩⲉ
ⲉⲃⲱⲗ	ⲉ|ⲃⲱⲗ	ⲉⲃⲱⲗ
ⲁⲓⲟ	ⲁ|ⲓ|ⲟ	ⲁⲓⲟ
ⲛⲧⲙⲡⲁϫⲟⲉⲓⲥ	ⲛ|ⲧⲙ|ⲡⲁ|ϫⲟⲉⲓⲥ	ⲛⲧⲙ|ⲡⲁ|ϫⲟⲉⲓⲥ
ⲛⲧⲁⲕⲁⲁⲕ	ⲛⲧ|ⲁ|ⲕ|ⲁⲁ|ⲕ	ⲛⲧ|ⲁ|ⲕⲁⲁ|ⲕ
ⲉϣⲱⲡⲉ	ⲉϣⲱⲡⲉ	ⲉ|ϣⲱⲡⲉ
ⲕⲁⲧⲁⲕⲣⲓⲛⲉ	ⲕⲁⲧⲁⲕⲣⲓⲛⲉ	ⲕⲁⲧⲁ|ⲕⲣⲓⲛⲉ
ⲉⲧϩⲟⲗϭ	ⲉⲧ|ϩⲟⲗϭ	ⲉ|ⲧ|ϩⲟⲗϭ
ⲙⲙⲟⲟⲩ	ⲙⲙⲟ|ⲟⲩ	ⲙ|ⲙⲟⲟⲩ
ⲙⲡⲣⲧⲣⲉⲗⲁⲁⲩ	ⲙⲡⲣⲧⲣⲉ|ⲗⲁⲁⲩ	ⲙⲡⲣ|ⲧⲣⲉ|ⲗⲁⲁⲩ
