#1|orig_group	count
·	3440
.	1809
ⲁⲩⲱ	1479
ⲇⲉ	856
ⲉⲃⲟⲗ	794
ⲁⲛ	544
ⲡⲉ	509
·	426
ⲅⲁⲣ	322
ⲛⲓⲙ	298
ⲛⲁϥ	264
ⲧⲏⲣⲟⲩ	261
ⲟⲛ	244
ⲁⲗⲗⲁ	231
ⲛⲁⲩ	229
ⲉⲣⲟϥ	203
ⲙⲙⲟⲥ	201
ⲉϩⲟⲩⲛ	191
ⲧⲉ	176
ⲙⲙⲟϥ	173
ⲏ	167
ⲡⲉϫⲁϥ	164
ⲛⲉ	150
ⲉⲣⲟⲟⲩ	142
ⲙⲡⲛⲟⲩⲧⲉ	124
,	122
ⲛ̄ⲑⲉ	113
ϭⲉ	100
ⲙ̄ⲡⲛⲟⲩⲧⲉ	99
ⲉϩⲣⲁⲓ̈	97
ⲉϩⲣⲁⲓ	95
ⲙⲙⲟⲟⲩ	93
ⲛⲑⲉ	93
ⲙ̄ⲙⲟⲟⲩ	91
ⲉⲓⲧⲉ	86
ⲻ	81
ϣⲱⲡⲉ	78
·ⲻ	75
ⲏ̂	72
ⲉϥϫⲱ	72
ⲟⲩⲇⲉ	71
ⲛⲧⲟϥ	70
⳾	69
ⲛⲏⲧⲛ	68
ⲛⲁⲓ	66
ⲉⲧⲟⲩⲁⲁⲃ	65
ⲛⲁⲛ	63
ⲟⲩ	61
ⲁⲩⲱ̇	60
ⲁⲛⲟⲕ	58
ⲙⲙⲁⲩ	58
ⲉϣⲱⲡⲉ	58
ⲛⲁⲕ	57
ⲁⲛⲟⲛ	57
ⲉⲧⲙⲙⲁⲩ	56
ⲏ̄	55
ⲓⲏⲥⲟⲩⲥ	54
ⲡⲛⲟⲩⲧⲉ	54
ⲉ̇ⲃⲟⲗ	54
ⲧⲉⲛⲟⲩ	53
ⲧⲁⲓ	53
ϫⲉⲕⲁⲁⲥ	53
ⲙ̄ⲙⲟϥ	53
ⲉⲧⲥⲏϩ	52
ⲡⲟⲩⲁ	52
ϫⲉ	51
ⲉⲣⲟⲛ	51
ϩⲣⲁⲓ̈	51
ⲡⲁⲓ	49
:	48
ⲛⲁⲓ̈	46
ⲛ̄ⲧⲟϥ	46
ⲙⲏ	45
ϩⲱⲱϥ	45
ⲛⲙⲙⲁϥ	44
ⲛⲟⲩⲱⲧ	43
ϩⲱⲥ	43
ⲛⲧⲉⲩⲛⲟⲩ	42
ⲙ̄ⲙⲟⲥ	42
ⲉⲧⲃⲉⲡⲁⲓ̈	41
ⲑⲉ	41
ⲓ︤ⲥ︥	40
ϫⲉⲕⲁⲥ	40
ⲙⲡⲣⲱⲙⲉ	39
ⲛ̄ϩⲏⲧⲟⲩ	39
ϩⲱⲥⲧⲉ	39
ⲉⲩϫⲱ	38
ⲛⲧϩⲉ	38
ⲟⲩⲧⲉ	38
ⲉⲙⲁⲧⲉ	37
ⲕⲁⲧⲁⲑⲉ	37
ϫⲟⲟⲥ	37
ⲛⲥⲱϥ	36
ⲛϩⲏⲧϥ	36
ⲙⲡϫⲟⲉⲓⲥ	35
ⲛϩⲏⲧ	35
ⲛϩⲟⲩⲟ	35
ⲉⲧⲃⲉ	34
ⲧⲏⲣϥ	34
ⲛⲣⲱⲙⲉ	33
[----]	33
ⲙⲉⲛ	33
ϫⲉⲟⲩ	33
ⲉ̄ⲃⲟⲗ	33
ⲉⲡⲉⲥⲏⲧ	32
ⲛⲁⲥ	32
ϣⲟⲟⲡ	32
ⲙⲙⲱⲧⲛ	31
ⲏ̇	31
ϣⲏⲙ	31
ⲙⲙⲟⲓ	31
ⲁϥⲃⲱⲕ	31
ⲙ̄ⲡϫⲟⲉⲓⲥ	30
ⲛϩⲏⲧⲧⲏⲩⲧⲛ	29
ϣⲁϩⲣⲁⲓ̈	29
ⲁⲛ⳿	29
ⲉϣϫⲉ	29
ⲁϥⲉⲓ	29
ⲡⲁⲓ̈	29
ⲛⲧⲟⲟⲩ	28
ϯϫⲱ	28
ⲛⲓ̈ⲙ	28
ⲥⲛⲁⲩ	28
ⲧⲁⲓ̈	28
ⲛⲙⲙⲁⲩ	27
ⲉⲓ	27
ⲧϩⲉ	27
ⲛⲁϣ	27
ⲉⲡⲙⲁ	27
ⲡⲉⲥ̄ⳁⲟ︤ⲥ︥	26
ⲟ̇ⲛ	26
ⲟⲛ⳿	25
ⲟⲩⲁ	25
ⲉⲣⲟⲥ	25
ⲙⲙⲟⲛ	25
ⲡϣⲏⲣⲉ	25
ⲛϩⲉ	24
ⲙⲙⲟⲕ	24
ⲛⲓⲙ`	24
ⲕⲁⲧⲁⲧϩⲉ	23
ⲛ̄ϩⲏⲧ	23
ⲉⲣⲱⲧⲛ	22
ⲡⲉϫⲁⲩ	22
ⲛⲧⲱⲧⲛ	22
ⲡⲣⲱⲙⲉ	22
ⲉⲧⲃⲏⲏⲧⲟⲩ	22
ⲁⲩⲉⲓ	22
ⲉⲣⲟⲕ	22
ⲗⲁⲁⲩ	22
ⲡⲉⲭⲣⲓⲥⲧⲟⲥ	22
ⲉⲧⲟⲟⲧⲟⲩ	21
ⲉϫⲱⲟⲩ	21
ⲙ̄ⲙⲁⲩ	21
ⲉⲧⲃⲉⲟⲩ	20
ⲛⲁⲥⲛⲏⲩ	20
ⲕⲁⲛ	20
ⲡⲙⲁ	20
ϩⲱⲱⲛ	20
ⲙⲡⲙⲁ	20
ⲛⲁⲙⲉ	20
ϣⲁⲉⲛⲉϩ	20
ⲛϩⲏⲧⲟⲩ	20
ⲡϫⲟⲉⲓⲥ	20
ⲙ̇ⲙⲟⲥ	20
ⲉⲓⲙⲏⲧⲓ	19
ⲙⲁⲗⲓⲥⲧⲁ	19
ⲧⲏⲣ︤ϥ︥	19
ϩⲛ	19
ⲣⲱ	19
ⲁ̇ⲛ	19
ⲉⲓⲉ	19
ⲧⲏⲣⲥ	19
ϫⲉⲛⲓⲙ	19
ⲙ̄ⲙⲟⲛ	19
ⲛⲧⲉⲡⲛⲟⲩⲧⲉ	18
ⲛ̄ⲧⲉⲓ̈ϩⲉ	18
ⲃⲱⲕ	18
ϩⲓⲧ︤ⲙ︥ⲡⲛⲟⲩⲧⲉ	18
ϫⲉⲁⲛⲟⲕ	18
ⲛ̄ⲣⲱⲙⲉ	18
ⲙⲁⲩⲁⲁϥ	17
ⲛⲧⲉⲓϩⲉ	17
ϫⲱ	17
[..]	17
ⲉⲣⲟⲓ	17
ⲁϥϫⲟⲟⲥ	17
ⲉ̇ⲣⲟϥ	17
ⲛⲧⲉⲣⲉϥⲛⲁⲩ	16
ⲉⲃⲟⲗ`	16
ⲉⲡⲙⲟⲩ	16
ⲙⲡⲉⲭⲣⲓⲥⲧⲟⲥ	16
ϩⲱ	16
ϩⲁϩ	16
ⲡϣⲉ	16
ϩⲏⲧϥ	16
ⲉϫⲱϥ	16
ⲛⲁⲓ̇	16
ⲛⲛⲁⲓ	16
ⲛ̄ϩⲏⲧ︤ϥ︥	16
ⲙ̇ⲙⲟϥ	16
ⲉⲣⲁⲧϥ	15
ⲛⲉϥϫⲱ	15
ⲙⲡⲛⲁⲩ	15
ⲉⲡⲛⲟⲩⲧⲉ	15
ⲛⲉⲥⲛⲏⲩ	15
ⲧⲏⲣⲟⲩ`	15
ⲛⲁⲕⲁⲑⲁⲣⲧⲟⲛ	15
