ⲉⲧϩⲟⲟⲩ	ϫⲉⲛϩⲓⲉⲓⲧ	·	·
ⲛϭⲓⲟⲩϩⲗⲗⲟ	ⲛⲛⲣⲱⲙⲉ	ϫⲉⲉⲛⲉϣⲁⲣⲉⲛⲉⲯⲩⲭⲟⲟⲩⲉ	ϫⲉ|ⲉⲛⲉ|ϣⲁⲣⲉ|ⲛⲉ|ⲯⲩⲭⲟⲟⲩⲉ
ⲡⲉ	ⲉⲧⲣϩⲟⲧⲉ	ⲡⲟⲩⲏⲏⲃ	ⲡ|ⲟⲩⲏⲏⲃ
ⲡⲉ	ⲉⲧⲣϩⲟⲧⲉ	ⲡⲟⲩⲏⲏⲃ	ⲡ|ⲟⲩⲏⲏⲃ
ⲉⲩⲛⲟϭ	ϩⲙⲡⲉⲩⲕⲱⲧⲉ	ⲙⲙⲏⲏϣⲉ	ⲙ|ⲙⲏⲏϣⲉ
ϩⲏⲧⲟⲩ	ϫⲉⲡϫⲟⲉⲓⲥ	ⲛⲛⲓϣⲁϫⲉ	ⲛ|ⲛⲓ|ϣⲁϫⲉ
ⲙⲙⲟϥ	ⲧⲏⲣⲟⲩ	ⲙⲛⲛⲁⲡⲉϥⲏⲓ	ⲙⲛ|ⲛⲁ|ⲡⲉϥ|ⲏⲓ
ⲁⲩⲱ	ϩⲙⲡⲓⲟⲣⲇⲁⲛⲏⲥ	ⲁϥϫⲓⲃⲁⲡⲧⲓⲥⲙⲁ	ⲁ|ϥ|ϫⲓ|ⲃⲁⲡⲧⲓⲥⲙⲁ
ⲛⲧⲛⲥⲱⲧⲙ	ϩⲛⲟⲩⲙⲛⲧⲣⲉϥϭⲛⲁⲣⲓⲕⲉ	ϫⲉⲛⲧⲁⲥⲁⲑⲉⲧⲓ	ϫⲉ|ⲛⲧ|ⲁ|ⲥ|ⲁⲑⲉⲧⲓ
ⲃⲁⲁⲃⲉ	ϩⲛ	ⲉⲧⲉⲧⲉⲧⲉⲧⲛⲛⲁϫⲟⲕⲣⲉϥ	ⲉ|ⲧⲉⲧⲛ|ⲛⲁ|ϫⲟⲕⲣ|ⲉϥ
ϫⲉⲉⲩⲉⲛⲟϫϥ	ⲁⲩⲱ	ⲉⲃⲟⲗ	ⲉⲃⲟⲗ
ⲛⲣⲉϥϯϩⲉ	ⲛⲣⲉϥⲧⲱⲣⲡ	ⲏ	ⲏ
ⲁⲥϣⲉⲡϩⲁϩ	ⲛⲧⲟⲟⲧⲟⲩ	ⲛϩⲓⲥⲉ	ⲛ|ϩⲓⲥⲉ
ⲉⲧⲣⲉⲡⲣⲱⲙⲉ	ⲙⲡⲛⲟⲩⲧⲉ	ϣⲙϣⲉ	ϣⲙϣⲉ
