·ⲻ	PUNCT	·ⲻ
·	PUNCT	·
·	UNKNOWN	·
Φαμενωθ	FM	Φαμενωθ
β	FM	β
γ	FM	γ
θἰνδικτίονος	FM	θἰνδικτίονος
ο	FM	ο
ϣϣⲉ	N	ϣϣⲉ
ϣϣⲉ	V	ϣϣⲉ
ϣϥⲉ	N	ϣϥⲉ
ϣϥⲉ	NUM	ϣϥⲉ
ϣϥ	V	ϣϥ
ϣϫⲁϩⲙ	V	ϣϫⲁϩⲙ
ϣϫⲉ	N	ϣϫⲉ
ϣϫⲏⲩ	N	ϣϫⲉ
ϣϭⲁ	V	ϣⲱⲱϭⲉ
ϣϭⲙϭⲟⲙ	N	ϣϭⲙϭⲟⲙ
ϣϭⲙϭⲟⲙ	V	ϣϭⲙϭⲟⲙ
ϣϭⲟⲙ	N	ϣϭⲟⲙ
ϣϭⲟⲙ	V	ϣϭⲟⲙ
ϣⲁϣ	N	ϣⲁϣ
ϣⲁϥⲉ	V	ϣⲁϥⲉ
ϣⲁϥⲧⲉ	N	ϣⲁϥⲧⲉ
ϣⲁϩⲉ	V	ϣⲁϩⲉ
ϣⲁϩⲛⲕⲱϩⲧ	N	ϣⲁϩⲛⲕⲱϩⲧ
ϣⲁϩⲛⲥⲁⲧⲉ	N	ϣⲁϩⲛⲥⲁⲧⲉ
ϣⲁϩⲟⲩⲛ	ADV	ϣⲁϩⲟⲩⲛ
ϣⲁϩⲟⲩⲛ	PREP	ϣⲁϩⲟⲩⲛ
ϣⲁϩⲣⲁⲓⲉⲡⲟⲟⲩⲛϩⲟⲟⲩ	ADV	ϣⲁϩⲣⲁⲓⲉⲡⲟⲟⲩⲛϩⲟⲟⲩ
ϣⲁϩⲣⲁⲓ	ADV	ϣⲁϩⲣⲁⲓ
ϣⲁϩ	N	ϣⲁϩ
ϣⲁϩ	V	ϣⲁϩ
ϣⲁϫⲉ	N	ϣⲁϫⲉ
ϣⲁϫⲉ	V	ϣⲁϫⲉ
ϣⲁⲁϥ	N	ϣⲁⲁϥ
ϣⲁⲁⲛⲧ	N	ϣⲁ
ϣⲁⲁⲣ	N	ϣⲁⲁⲣ
ϣⲁⲁⲧ	V	ϣⲓⲧⲉ
ϣⲁⲁⲧ	VSTAT	ϣⲓⲧⲉ
ϣⲁⲁ	V	ϣⲁⲁ
ϣⲁⲃⲟⲗ	ADV	ϣⲁⲃⲟⲗ
ϣⲁⲉϩⲣⲁⲓ	ADV	ϣⲁⲉϩⲣⲁⲓ
ϣⲁⲉⲓ	N	ϣⲁⲉⲓ
ϣⲁⲓⲣⲉ	N	ϣⲁⲓⲣⲉ
ϣⲁⲓ	N	ϣⲁⲓ
ϣⲁⲕⲧ	V	ϣⲁⲕⲧ
ϣⲁⲗⲛⲃⲏⲧ	N	ϣⲁⲗⲛⲃⲏⲧ
ϣⲁⲗ	N	ϣⲁⲗ
ϣⲁⲛϩⲏⲧ	N	ϣⲁⲛϩⲏⲧ
