ⲛⲁⲉⲓⲁⲧ	ⲛⲁ|ⲉⲓⲁⲧ
ⲛⲁⲓⲁⲧ	ⲛⲁ|ⲓⲁⲧ
ⲡⲗⲩⲅⲏ	ⲡⲗⲩⲅⲏ
ⲣⲟⲩ	ⲣ|ⲟⲩ
ⲟⲟⲩ	ⲟⲟⲩ
ⲫⲟⲓⲛⲓⲕⲏ	ⲫⲟⲓⲛⲓⲕⲏ
ⲡⲟⲛⲏⲣⲉⲩⲉ	ⲡⲟⲛⲏⲣⲉⲩⲉ
ⲧⲱⲛ	ⲧⲱⲛ
ⲛⲥⲱ	ⲛⲥⲱ
ⲧⲱⲙ	ⲧⲱⲙ
ϩⲏⲛⲉ	ϩⲏⲛⲉ
ⲥⲧⲱⲧ	ⲥⲧⲱⲧ
ⲧⲱⲕ	ⲧⲱⲕ
ⲛⲉϩⲥⲉ	ⲛⲉϩⲥⲉ
ⲙⲛⲧⲁⲧⲥⲟⲟⲩⲛ	ⲙⲛⲧ|ⲁⲧ|ⲥⲟⲟⲩⲛ
ⲱϭⲉ	ⲱϭⲉ
ⲁⲣⲭⲉⲥⲑⲁⲓ	ⲁⲣⲭⲉⲥⲑⲁⲓ
ⲥⲓⲇⲱⲛ	ⲥⲓⲇⲱⲛ
ⲧⲱⲧ	ⲧⲱⲧ
ⲥⲡⲓⲣⲁ	ⲥⲡⲓⲣⲁ
ⲧⲱⲥ	ⲧⲱⲥ
ϫⲉⲛⲟⲩ	ϫⲉⲛⲟⲩ
ϩⲓϩⲣⲁ	ϩⲓϩⲣⲁ
ⲕⲁⲕⲓⲁ	ⲕⲁⲕⲓⲁ
ⲙⲁⲗⲓⲥⲧⲁ	ⲙⲁⲗⲓⲥⲧⲁ
ϣⲟϣⲟⲩ	ϣⲟϣⲟⲩ
ⲉⲝⲟⲙⲟⲗⲟⲅⲓ	ⲉⲝⲟⲙⲟⲗⲟⲅⲓ
ⲁⲛⲁⲕⲣⲓⲛⲉ	ⲁⲛⲁⲕⲣⲓⲛⲉ
ⲥⲱⲙⲁ	ⲥⲱⲙⲁ
ϩⲱⲣⲡ	ϩⲱⲣⲡ
ⲡⲟⲛⲏⲣⲟⲛ	ⲡⲟⲛⲏⲣⲟⲛ
ⲁϫⲙ	ⲁϫⲙ
ϭⲉⲗⲡ	ϭⲉⲗⲡ
ⲛⲁⲃⲟⲩⲭⲟⲇⲟⲛⲟⲥⲟⲣ	ⲛⲁⲃⲟⲩⲭⲟⲇⲟⲛⲟⲥⲟⲣ
ⲕⲁⲣⲱϥ	ⲕⲁⲣⲱϥ
ⲛⲁⲓⲁⲧ	ⲛⲁⲓⲁⲧ
ⲣⲁⲧ	ⲣⲁⲧ
