ⲁϥϫⲟⲟⲥ	ⲁ|ϥ|ϫⲟⲟ|ⲥ
ⲛϭⲓⲟⲩϩⲗⲗⲟ	ⲛϭⲓ|ⲟⲩ|ϩⲗⲗⲟ
·	·
ϫⲉⲡⲉⲧⲛⲁϥⲓ	ϫⲉ|ⲡ|ⲉⲧ|ⲛⲁ|ϥⲓ
ϩⲁⲟⲩⲥⲱϣ	ϩⲁ|ⲟⲩ|ⲥⲱϣ
ⲙⲛⲟⲩⲛⲟϭⲛⲉϭ	ⲙⲛ|ⲟⲩ|ⲛⲟϭⲛⲉϭ
ⲟⲩⲛϭⲟⲙ	ⲟⲩⲛ|ϭⲟⲙ
ⲙⲙⲟϥ	ⲙⲙⲟ|ϥ
ⲉⲟⲩϫⲁⲓ	ⲉ|ⲟⲩϫⲁⲓ
ⲡⲇⲓⲁⲃⲟⲗⲟⲥ	ⲡ|ⲇⲓⲁⲃⲟⲗⲟⲥ
ⲇⲉ	ⲇⲉ
ⲁϥⲙⲉϩⲡϩⲏⲧ	ⲁ|ϥ|ⲙⲉϩ|ⲡ|ϩⲏⲧ
ⲙⲡⲉⲓⲱⲧ	ⲙ|ⲡ|ⲉⲓⲱⲧ
ⲛⲁⲡⲁ	ⲛ|ⲁⲡⲁ
ⲃⲓⲕⲧⲱⲣ	ⲃⲓⲕⲧⲱⲣ
ⲁϥⲧⲣⲉⲩⲧⲁⲁϥ	ⲁ|ϥ|ⲧⲣⲉ|ⲩ|ⲧⲁⲁ|ϥ
ⲛⲇⲓⲟⲕⲗⲏϯⲁⲛⲟⲥ	ⲛ|ⲇⲓⲟⲕⲗⲏϯⲁⲛⲟⲥ
ⲡⲣⲣⲟ	ⲡ|ⲣⲣⲟ
:—	:—
ⲛⲧⲉⲣⲉϥϭⲱϣⲧ	ⲛⲧⲉⲣⲉ|ϥ|ϭⲱϣⲧ
ⲉϩⲟⲩⲛ	ⲉϩⲟⲩⲛ
ϩⲙⲡϩⲟ	ϩⲙ|ⲡ|ϩⲟ
ⲡⲉϫⲁϥ	ⲡⲉϫⲁ|ϥ
ⲛⲁϥ	ⲛⲁ|ϥ
ϫⲉⲛⲧⲟⲕ	ϫⲉ|ⲛⲧⲟⲕ
ⲡⲉ	ⲡⲉ
ⲉⲧⲃⲉⲟⲩ	ⲉⲧⲃⲉ|ⲟⲩ
ⲛⲥⲁⲡⲉⲕⲉⲓⲱⲧ	ⲛⲥⲁ|ⲡⲉⲕ|ⲉⲓⲱⲧ
ⲛⲅⲟⲩⲱϣⲧ	ⲛ|ⲅ|ⲟⲩⲱϣⲧ
